ID_Prestamo,Fecha_Solicitud,Fecha_Aprobacion,Fecha_Desembolso,Monto_Solicitado,Monto_Aprobado,Tasa_Interes,Plazo_Meses,ID_Cliente,Nombre_Cliente,Edad,Genero,Ciudad,Pais,Latitud,Longitud,Tipo_Prestamo,Estado_Prestamo,Monto_Pagado,Fecha_Ultimo_Pago,Score_Credito,Ingreso_Mensual,Empleador,Proposito
91,2023-06-28,2023-06-30,2023-07-03,15000,15000,12.6,24,C091,Matías Benítez,34,M,La Rioja,Argentina,-29.4131,-66.8558,Personal,Activo,6000,2023-12-15,715,45000,Bodega,Consolidación deudas
92,2023-08-30,2023-09-01,2023-09-04,26500,24500,11.2,36,C092,Virginia Juárez,40,F,Santiago del Estero,Argentina,-27.7834,-64.2642,Hipotecario,Activo,9800,2023-12-28,700,57000,Docencia,Compra de vivienda
93,2023-10-31,2023-11-02,2023-11-05,45000,41000,9.9,60,C093,Sebastián Montiel,48,M,Buenos Aires,Argentina,-34.6037,-58.3816,Hipotecario,Activo,16400,2023-12-22,730,88000,Ingeniería,Compra de vivienda
94,2023-12-20,2023-12-22,2023-12-26,8500,8500,14.1,12,C094,Carla Coronel,27,F,Córdoba,Argentina,-31.4201,-64.1888,Personal,Activo,2125,2023-12-30,745,37000,Publicidad,Viaje
95,2023-03-30,2023-04-01,2023-04-04,21500,20000,11.6,30,C095,Mariano Acuña,36,M,Rosario,Argentina,-32.9442,-60.6505,Automotriz,Activo,8000,2023-12-20,695,52000,Logística,Compra de vehículo
96,2023-06-02,2023-06-04,2023-06-07,35500,33000,10.4,48,C096,Débora Piñeiro,44,F,Mendoza,Argentina,-32.8895,-68.8458,Empresarial,Activo,13200,2023-12-25,720,75000,Fruticultura,Equipamiento
97,2023-08-08,2023-08-10,2023-08-13,13000,13000,12.9,18,C097,Iván Zárate,31,M,La Plata,Argentina,-34.9215,-57.9545,Personal,Activo,5200,2023-12-18,715,43000,Software,Educación
98,2023-10-12,2023-10-14,2023-10-17,28500,26500,10.8,36,C098,Romina Lagos,41,F,Tucumán,Argentina,-26.8083,-65.2176,Hipotecario,Activo,10600,2023-12-28,705,62000,Medicina Privada,Refacción vivienda
99,2023-12-08,2023-12-10,2023-12-13,16500,16500,12.4,24,C099,Pablo Vera,35,M,Salta,Argentina,-24.7859,-65.4117,Personal,Activo,4125,2023-12-30,710,46000,Aerolíneas,Gastos varios
100,2023-07-06,2023-07-08,2023-07-11,50000,46000,9.6,60,C100,Marcela Ferrer,51,F,San Juan,Argentina,-31.5375,-68.5364,Hipotecario,Activo,18400,2023-12-25,740,93000,Médica,Compra de vivienda
